"";"PT1_L";"PT1_R";"PT2_L";"PT2_R";"PT3_L";"PT3_R";"PT4_L";"PT4_R";"PT5_L";"PT5_R";"PT6A_L";"PT6A_R";"PT6B_L";"PT6B_R";"RD1_L";"RD3_L";"RD3_R";"RD4_R";"RD5_R";"RD6B_R"
"TXNRD2";1410;1113;1505;703;2150;1335;2356;1597;731;746;2006;1576;1999;1555;1804;2031;1511;1657;955;1103
"TXNRD3";469;859;1125;1506;473;478;229;594;306;195;313;248;548;617;1125;583;428;498;312;537
"TXNRD3NB";25;15;41;16;11;8;4;21;11;7;2;4;3;10;72;10;8;2;10;10
"TYK2";7796;9000;7097;11932;5519;7722;12235;7470;7295;22803;6307;9894;8056;9058;6944;9530;8196;8339;20920;7853
"TYMP";20018;6814;16777;31010;7012;3985;19054;20628;7260;9968;5492;7498;6046;4941;7219;9782;5092;14161;14914;4465
"TYMS";13682;6341;6542;8470;944;5080;4607;2032;3885;402;8349;2779;8034;1347;12117;811;1104;546;500;961
"TYMSOS";153;239;158;126;32;97;342;77;78;4;116;73;221;45;157;27;48;38;15;39
"TYR";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TYRO3";1313;1193;1546;1671;736;724;877;765;577;311;1186;820;988;440;1228;2269;479;1784;947;1078
"TYRO3P";2;4;2;0;1;3;2;0;0;2;0;1;1;0;3;0;2;3;1;0
"TYROBP";7125;1594;5420;4455;2746;1494;6225;3607;2444;2108;2213;1758;2096;3390;2251;7003;6042;12024;7092;4416
"TYRP1";4;18;2;1;3;11;0;722;43;0;91;2;139;2;64;1;5;66;3;5
"TYSND1";1775;4044;4073;2938;2171;2419;3758;2482;720;824;2211;2047;3932;2404;1680;2404;2119;2355;1174;1666
"TYW1";1860;2376;3444;2392;1791;2921;2011;2588;927;1567;2704;2144;2457;1948;1982;2307;2188;1712;1403;1704
"TYW1B";522;621;373;290;533;690;651;694;176;296;1261;915;1496;911;522;685;683;619;286;871
"TYW3";3068;3519;3211;2141;2432;3656;2398;2523;759;1285;2773;3968;2816;2948;2955;2977;2810;2085;1192;2736
"TYW5";935;1403;2842;1538;1163;1818;1431;1695;944;759;1799;1991;1957;1616;1077;1471;1395;1093;639;966
"U2AF1";13075;7150;6023;10837;5300;7170;13489;3758;13738;3447;7796;3495;9919;5173;8168;8723;6435;6245;3347;4854
"U2AF1L4";1972;625;549;537;674;864;1018;798;515;876;444;728;773;708;1631;1209;1244;1077;1117;728
"U2AF2";17825;13990;15124;14753;9395;15088;14551;13393;6579;6651;11277;12070;13511;10577;11567;12712;10523;11458;8787;9127
"U2SURP";8370;16436;28171;27067;7558;12040;7283;15063;6855;4005;13324;12540;13357;10772;12129;9762;9839;8160;3987;8586
"UACA";7528;4628;9364;3454;8068;7602;6957;6421;1954;5089;7631;11657;9884;14784;18497;8721;12609;9082;5618;17079
"UAP1";4304;9798;12895;16610;6926;6243;5300;12288;4726;3434;4060;4632;3938;3902;5827;7869;4552;5715;3746;4343
"UAP1L1";1671;1690;1319;1545;2185;4866;4500;1900;1282;912;3924;2313;5531;3566;2298;3267;5710;3706;1520;2354
"UBA1";79955;61838;32765;37710;15011;23944;23989;22933;15626;10816;27145;31839;45653;23263;64601;23963;17377;21313;13245;20173
"UBA2";34490;14772;13409;15401;6737;8883;9645;8366;6372;3626;8592;7690;8671;7054;29147;11716;6741;7572;4076;7358
"UBA3";3337;12155;6700;16589;4468;7963;4723;7907;2856;2800;4908;4825;5933;5377;4810;6193;5932;5097;2257;3918
"UBA5";2949;3141;7067;3852;2951;4125;5163;10019;1270;1641;4719;3951;4804;3704;4070;3585;4124;4626;1661;3423
"UBA52";43665;37995;27448;32806;26168;17610;45720;23230;34459;21840;19587;16657;22111;25681;23651;34314;25560;34207;21077;23829
"UBA6";2671;8523;8948;12494;3639;6687;2214;7348;2734;1549;7150;9305;7845;6067;3905;4080;4257;3627;1719;3927
"UBA6-AS1";984;1011;646;1044;948;1581;647;1242;903;318;1219;1822;1691;1336;807;897;1022;1009;455;855
"UBA7";6045;2705;6647;7806;5000;4369;6304;5460;1925;4605;1938;7575;2463;7603;3374;7373;7401;6059;5964;7094
"UBAC1";5902;2043;4204;3838;2582;2874;4656;2256;1570;1109;2160;2491;3092;2576;2867;3343;2902;2910;1768;2709
"UBAC2";5228;6152;5668;8045;3164;3401;6492;5285;4258;2640;9087;4160;9076;4982;4424;4709;3991;5180;2869;4123
"UBAC2-AS1";29;75;176;145;94;78;380;166;90;32;201;41;132;80;37;112;77;114;43;69
"UBALD1";1363;1224;1704;613;1064;2905;2062;1641;741;521;998;997;1252;943;1106;1699;2152;1561;750;934
"UBALD2";5901;5669;2365;2634;1565;1686;4126;1422;1569;900;1205;2418;1875;1699;5566;2254;1650;2151;1258;1427
"UBAP1";8032;5897;8675;5849;4054;5037;3449;5472;1647;1855;5026;4705;5597;4683;9840;6452;4502;4762;2593;4508
"UBAP1L";114;117;151;84;152;199;122;106;31;193;138;299;227;226;127;324;284;152;222;240
"UBAP2";6742;7124;10058;5049;2846;5325;3234;3495;1640;1743;7174;3575;8188;3038;8588;3152;3373;2696;1835;2432
"UBAP2L";38662;17767;18669;32412;10956;13897;7707;10912;6030;5185;9661;19199;10804;11203;50476;10681;8475;7443;5820;8813
"UBASH3A";291;134;300;456;144;15;133;226;175;83;94;325;69;378;106;502;170;347;235;443
"UBASH3B";2248;1208;2573;2577;292;325;1067;633;575;142;573;406;638;682;1574;1758;521;852;478;553
"UBB";46974;41103;53906;61012;30474;33294;67973;77419;37129;33211;39283;28477;53667;32226;29112;45153;30683;45537;28091;38887
"UBC";145698;66784;79967;115898;62915;102642;100081;53073;39277;71256;69048;97566;80026;60050;227247;108985;94353;90150;72077;85242
"UBD";31892;11619;63634;29425;1676;354;1044;5117;1920;1071;577;2508;414;1493;13821;4898;1674;978;1001;870
"UBE2A";6874;5997;5269;6968;3489;5910;5447;7061;2114;2142;4149;8354;4821;4904;7154;4794;4388;4882;2472;4143
"UBE2B";3352;4104;4823;4514;4022;6727;5931;5392;1939;2763;5428;7981;6102;4854;4354;6627;7220;4742;2344;4319
"UBE2C";8658;8186;4187;9996;522;3560;16190;1575;5370;312;7341;1329;7254;541;3433;270;506;156;263;204
"UBE2D1";1247;3723;6617;3193;928;1492;1069;2050;1006;463;1553;1558;1873;1549;1820;2338;1980;1938;497;1157
"UBE2D2";8275;10817;8033;11426;5444;7967;11474;5827;3969;3871;7273;8406;8287;6031;8089;7190;6856;6486;3587;5551
"UBE2D3";16067;23414;27945;41351;17252;24435;18663;29312;6100;5649;20607;23945;30243;19176;18687;26143;20161;21068;8177;16200
"UBE2D4";1423;2779;2987;1190;1679;1781;2097;1750;1665;1040;1438;3013;1758;2019;1151;1824;1584;2389;1268;2413
"UBE2DNL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"UBE2E1";4700;14294;20331;15703;5209;7169;6557;10434;3383;2592;8884;7852;8452;6576;5967;6883;7174;6492;2420;4779
"UBE2E1-AS1";0;0;2;0;0;1;0;1;3;0;3;0;0;0;0;1;0;0;1;1
"UBE2E2";1998;1261;3280;2347;874;1018;1820;3640;1196;509;752;1215;780;1815;2165;1910;1621;2483;962;2039
"UBE2E3";4043;5003;9084;6987;2020;1558;2116;2053;3363;1818;982;3467;1152;5310;3859;4675;3849;3767;1978;4622
"UBE2E4P";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"UBE2F";1657;1464;935;1019;698;1078;1397;1359;671;430;2046;555;2325;823;1045;1137;1161;1509;602;831
"UBE2F-SCLY";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"UBE2G1";3511;6117;4615;4363;3536;2768;1780;4452;2142;1099;3378;2585;3780;3254;7162;4187;2510;2696;1374;2817
"UBE2G2";13709;11701;13482;13334;9971;14475;13661;6897;9425;6049;12659;6941;18166;9145;10985;11751;11251;10594;6942;7840
"UBE2H";25761;19007;14118;20246;8893;22607;6750;14596;10753;7375;12452;17116;17072;12323;30166;11603;13410;8902;7899;13192
