"";"PT1_L";"PT1_R";"PT2_L";"PT2_R";"PT3_L";"PT3_R";"PT4_L";"PT4_R";"PT5_L";"PT5_R";"PT6A_L";"PT6A_R";"PT6B_L";"PT6B_R";"RD1_L";"RD3_L";"RD3_R";"RD4_R";"RD5_R";"RD6B_R"
"A1BG";283;125;283;198;599;467;1357;573;381;168;363;398;571;459;295;506;583;724;275;481
"A1BG-AS1";398;207;687;358;687;812;1298;741;402;390;528;959;541;616;258;798;956;730;420;483
"A1CF";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
"A2M";133278;40053;14369;20659;68081;25403;36527;26122;231823;13377;43728;36389;55158;104114;232445;135642;67599;106990;54655;149043
"A2M-AS1";77;278;795;192;221;255;36;203;42;85;43;147;122;239;160;305;356;351;125;275
"A2ML1";3603;16232;1050;17837;6;5;65;10;2;78;22;2;13;68;4021;127;23;27;98;32
"A2MP1";23;20;29;29;17;7;14;21;290;1;8;9;14;27;8;33;14;48;15;40
"A3GALT2";2;4;3;1;0;2;2;7;2;6;0;5;2;0;2;5;9;3;6;0
"A4GALT";775;449;535;1480;617;514;428;653;231;144;891;502;446;1214;917;1805;1264;2040;930;1863
"A4GNT";0;1;0;0;0;1;2;0;0;0;0;2;0;3;0;1;0;0;0;1
"AA06";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AAAS";3183;2672;3013;2159;3090;5043;2871;3524;898;2266;2148;4095;2554;3297;2921;3913;4895;3970;2059;2509
"AACS";4045;3321;4449;3249;3205;3441;3455;1997;2960;2874;3751;2729;3817;2587;3955;3670;1870;2454;1887;1626
"AACSP1";132;149;146;60;0;3;30;0;2;1;14;12;40;3;123;3;15;1;0;6
"AADAC";14;5;0;4;18;0;3;11;2;1;2;1;3;14;84;114;7;3;52;27
"AADACL2";0;0;0;1;0;2;0;0;2;0;0;3;0;0;0;5;0;0;0;2
"AADACL2-AS1";0;1;0;3;9;2;0;0;0;0;2;4;1;4;29;7;0;0;0;8
"AADACL3";0;6;173;2;0;0;0;2;1;0;0;0;0;0;0;0;0;2;3;0
"AADACL4";0;0;0;0;1;0;0;1;0;0;0;0;0;2;0;0;0;2;1;6
"AADACP1";4;11;2;0;33;2;0;3;5;1;1;5;4;10;12;17;3;9;4;48
"AADAT";461;561;100;1557;321;504;228;654;181;92;709;621;1145;1010;348;490;625;727;217;555
"AAED1";1851;516;1606;736;655;661;842;596;307;175;438;532;451;780;1425;1350;953;1121;403;1042
"AAGAB";4424;3357;9885;4316;3715;10277;10297;8019;1221;4561;10415;10423;10952;4572;3606;4687;5738;4457;3162;2990
"AAK1";2758;4308;5672;6948;3344;2814;3214;6757;1345;2437;3257;5015;3088;6258;2822;6828;4347;5058;3312;5509
"AAMDC";1722;1731;1099;440;1635;2310;686;1249;1339;383;1035;976;1198;903;926;1680;2329;1413;545;1215
"AAMP";8768;14735;21143;12392;7700;8388;12852;9568;7525;3666;9333;7916;12398;7453;7114;10129;7403;7983;4369;6634
"AANAT";4;7;7;2;4;2;20;0;5;1;3;6;5;10;10;3;6;0;1;2
"AAR2";3383;5871;3382;3942;2979;5825;4782;3936;1911;1931;4069;3392;5096;3388;2288;3811;3978;3523;2154;3111
"AARD";8552;604;3141;511;397;4515;1733;14799;1906;514;2514;42674;2695;8256;7681;809;3132;4403;309;2824
"AARS";13626;9918;16179;12173;6690;13368;6936;8165;7333;5600;19659;7587;19596;7561;11383;10208;7172;9756;5595;7426
"AARS2";2242;3523;3919;3202;2114;4518;3618;1726;4566;1576;3183;2339;3772;2398;1645;3094;3483;1933;1725;2125
"AARSD1";0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
"AASDH";686;1338;874;932;1345;1796;809;1981;576;401;1224;2003;1778;1479;916;1482;1623;1364;592;1676
"AASDHPPT";2284;2189;4773;6236;2129;4617;4474;3016;1057;856;3831;2406;4107;3029;2813;3286;2905;2258;1018;2209
"AASS";555;2920;646;372;3929;1281;1482;1280;212;832;732;2627;1034;5185;720;5426;3215;2426;1082;4309
"AATF";5903;5242;10924;7218;2915;4385;6073;3616;2931;1251;4416;3603;4485;2879;4258;4278;3595;3468;1661;2824
"AATK";397;331;157;292;314;1064;709;1142;179;46;254;240;380;435;208;492;915;633;263;511
"AATK-AS1";0;1;0;0;8;3;8;14;0;0;0;0;0;3;0;3;3;0;0;0
"ABAT";415;649;375;279;1413;6991;766;4512;149;446;9774;9167;9341;3290;679;1441;2730;1495;423;1938
"ABCA1";1472;1990;3721;3429;3216;3101;1745;5558;2081;1411;2781;3159;2871;5413;1570;7853;6059;5278;3153;4525
"ABCA10";100;503;112;164;4087;510;52;267;44;185;341;983;449;2328;313;4964;1843;1184;440;6437
"ABCA11P";185;630;780;813;718;733;570;438;111;98;452;548;439;872;168;763;718;534;222;672
"ABCA12";32;125;65;74;47;247;192;3634;3;44;170;463;601;175;20;84;94;552;174;131
"ABCA13";11;669;8;117;120;8;2;3;5;613;6;5;7;265;31;83;25;1;319;94
"ABCA17P";72;87;20;50;56;115;35;70;21;16;39;106;30;50;59;69;145;95;19;75
"ABCA2";5863;4257;3582;3719;6128;10657;7919;9737;2371;1730;6993;13979;8636;7684;7743;8158;9197;7038;3511;7836
"ABCA3";2592;3788;186;7793;3096;15501;5609;6497;1223;788;7304;16494;7361;3311;4450;3236;5397;2993;863;2306
"ABCA4";589;159;73;7;245;189;401;283;7;34;171;97;322;217;99;314;204;119;42;341
"ABCA5";1671;5574;3458;1125;3868;2572;1166;2484;486;911;963;7016;1137;5353;4425;4650;3071;2249;1042;3798
"ABCA6";98;336;205;156;3520;743;164;576;42;160;452;834;651;1771;223;2685;1214;1423;1267;3359
"ABCA7";3153;2345;2507;1375;1137;2213;4806;3461;764;3125;2737;2074;3521;1862;3597;3028;2182;3664;4639;1867
"ABCA8";118;846;141;60;6810;740;24;276;66;348;413;1148;215;2380;400;9096;2056;2206;2335;15837
"ABCA9";115;661;246;133;5407;1503;234;1037;53;236;711;1453;936;4045;451;6192;2620;2081;1137;8361
"ABCA9-AS1";0;0;0;0;1;0;0;0;1;0;0;1;2;2;0;0;3;11;0;1
"ABCB1";94;254;351;657;1080;191;70;241;162;112;235;556;214;1425;140;1989;751;642;235;1895
"ABCB10";3513;5358;2490;5553;1731;2112;1557;3042;946;1137;4591;2653;3336;1848;3592;2242;1940;1825;949;1345
"ABCB11";7;2;26;0;11;0;0;0;0;3;5;3;7;4;0;36;7;6;10;17
"ABCB4";163;90;88;89;145;132;117;131;40;86;97;273;78;183;106;206;272;157;105;339
"ABCB5";2;19;17;3;203;99;3;16;4;19;11;17;3;429;4;685;679;233;22;147
"ABCB6";2642;3201;3498;4196;1322;2218;12690;2633;1343;719;6525;827;6531;1734;1401;1964;1998;2734;1051;1748
"ABCB7";1518;1787;1875;1892;1750;2012;1692;1971;988;1008;856;1469;902;1950;1637;2290;1882;1624;1087;1733
"ABCB8";6395;3912;1418;1701;2052;3548;4792;1630;1724;2443;3599;2454;4492;1839;10256;2261;2779;2512;2527;1868
"ABCB9";1810;334;1722;1605;653;762;1225;781;474;358;517;1520;407;681;1370;569;779;473;351;653
"ABCC1";3498;12490;6964;11733;2846;7062;3378;7111;7122;3434;5900;4669;5763;4186;3921;5882;5772;4405;4278;4191
"ABCC10";2836;2760;3826;2272;1770;3357;2019;2364;3110;1396;2004;2672;2763;2391;3397;2457;2544;2354;2034;1967
"ABCC11";7;13;32;19;5916;272;5598;12834;2;43;3755;427;3330;441;10;1307;424;2629;14;43
"ABCC12";3;56;1;1;338;3;575;580;0;3;137;3;171;19;0;116;15;226;2;7
"ABCC13";2;3;3;0;3;319;339;270;0;3;1;937;0;181;8;0;82;29;5;151
"ABCC2";1429;88;117;135;251;95;47;145;37;51;246;99;563;170;897;178;124;111;175;143
"ABCC3";2922;676;3345;340;2790;1161;11357;1526;527;417;2558;6716;3156;6371;4209;4604;2777;3409;1395;1548
"ABCC4";892;1731;3181;3625;418;580;230;612;261;477;268;722;205;1323;1559;922;1258;1517;878;1050
"ABCC5";3599;8665;10457;4124;4050;15115;8983;22690;3817;3113;26832;8013;50224;8059;3315;6282;13246;10588;4903;6725
"ABCC5-AS1";0;0;1;4;1;0;1;1;0;0;1;0;5;0;1;0;0;1;0;0
"ABCC6";66;55;476;77;641;374;36;345;26;33;19;36;89;236;39;911;328;649;211;285
"ABCC6P1";8;6;44;4;74;6;10;49;1;11;1;3;9;18;5;83;12;48;19;29
"ABCC6P2";8;4;25;0;57;9;7;57;1;4;1;6;3;22;7;30;10;24;7;26
"ABCC8";2;5;1;3;3394;1869;273;1529;3;5;1261;212;1431;653;16;531;520;646;7;367
"ABCC9";1027;1495;1079;663;2193;1900;975;1572;405;768;1790;1822;2147;2983;1060;3353;2073;2234;1951;5981
"ABCD1";2872;2051;3694;5786;750;1054;1981;1517;4544;1107;860;1640;1290;1205;2911;1600;1184;1689;1399;1429
"ABCD2";24;181;170;140;181;18;13;119;44;29;14;107;37;120;76;670;129;532;104;317
"ABCD3";4403;2123;5972;9422;12251;20037;3481;10921;2342;3373;19663;16623;15278;6225;4230;5369;9102;3407;2260;4414
"ABCD4";2186;2410;2383;1720;2663;3405;2719;2639;1362;1850;1721;1898;2508;4003;1776;4886;4214;4229;2617;4550
"ABCE1";6737;9352;15707;15861;4845;7221;7098;9105;4644;1660;14276;5583;15830;5822;8100;6920;4612;5439;2212;4149
"ABCF1";7834;9821;16359;11603;4398;9988;8732;5728;6770;3488;10718;6057;12322;5230;5914;6573;6717;5410;3997;4512
"ABCF2";14213;14272;11636;13175;3388;4351;5706;2681;5674;3379;4190;3974;5050;3746;13457;5286;2997;4189;3095;3127
"ABCF3";4346;7709;7172;4534;3256;4031;5553;6787;3842;2280;5043;4077;7130;3680;3325;4525;3817;4955;2645;2894
"ABCG1";1163;706;1221;1454;2346;4571;2571;3216;2842;958;2483;1610;3752;2083;739;2149;2463;2253;1295;2093
"ABCG2";102;91;61;68;414;246;120;150;22;48;238;569;405;947;49;502;424;389;162;1020
"ABCG4";31;19;20;4;11;7;62;26;12;9;16;15;17;43;20;19;31;32;22;66
"ABCG5";0;0;0;0;6;2;20;2;1;1;0;0;0;1;0;23;1;7;2;3
"ABCG8";0;0;1;1;3;0;36;3;2;0;2;1;0;5;0;18;3;12;3;7
"ABHD1";29;12;50;7;98;149;39;39;16;30;30;91;25;97;76;133;127;140;46;89
"ABHD10";2076;1742;3125;2663;2111;2779;2050;3173;919;926;2664;2092;2802;2424;2045;2640;2814;2557;976;2380
"ABHD11";5044;2647;3734;7551;3835;6328;4061;4706;1006;1170;7597;3516;9827;2036;3167;2744;4325;2589;1811;1281
"ABHD11-AS1";28;0;48;86;62;55;4;12;2;3;372;268;440;97;19;56;56;7;5;77
"ABHD12";4997;3009;6448;4193;2954;5816;5976;4732;2004;1766;4999;4048;4902;3197;4171;4846;5780;5961;2483;2805
"ABHD12B";1;0;6;2;58;4;0;5;6;11;0;426;0;60;3;7;4;2;7;34
"ABHD13";893;2258;2821;3905;1033;1430;1271;2179;649;829;3231;1409;2787;1718;1473;2497;1890;1808;737;1767
"ABHD14A";224;225;260;174;447;383;605;422;107;112;170;259;195;422;178;634;473;708;192;636
"ABHD14A-ACY1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ABHD14B";2035;2117;2772;2762;5070;5282;4308;3882;1496;2052;3219;2272;3882;5320;1471;6857;4811;5393;2603;4288
"ABHD15";678;1318;1429;1273;1122;1489;1930;2682;517;864;1533;1240;1710;1297;545;2565;1510;2481;1422;1672
"ABHD16A";3026;4822;5258;5728;2610;5384;5306;3424;3212;3206;4863;4764;6384;3055;2259;3824;3889;3458;3129;2947
"ABHD16B";0;1;0;1;1;3;0;1;0;0;0;1;3;0;0;1;3;0;0;3
"ABHD17A";3669;1727;3653;3405;2212;2745;4074;2730;949;703;1373;2674;2353;2084;2499;4171;2722;4667;2149;3488
"ABHD17B";1108;1470;1833;1577;979;1175;865;1353;602;365;1103;925;1158;1257;1073;1594;1427;1020;487;1293
"ABHD17C";2519;3067;3549;3313;1543;3388;870;3287;1215;376;856;1673;657;1226;3358;1050;2245;1394;314;677
"ABHD2";7442;9742;7226;16379;24705;39772;6843;17953;5047;3712;15777;36021;14849;12641;10952;19710;15428;11539;4955;9916
"ABHD3";2343;926;4289;3786;1832;2536;1150;4862;705;464;3434;3319;3506;1522;2503;1869;2233;2923;766;1147
"ABHD4";2698;1148;1652;559;2097;3826;2609;4579;954;1435;2312;3521;3675;3594;2445;2663;3103;3107;1638;3297
"ABHD5";2080;1448;3981;2782;2515;3219;2937;3507;1157;1831;1643;3032;1670;2125;3133;5643;2285;2494;1814;1791
"ABHD6";314;237;760;367;488;334;879;1017;241;361;199;207;154;556;194;1094;740;1371;585;1120
"ABHD8";567;652;868;1421;751;1169;1113;998;898;1412;520;1016;643;729;412;1080;836;1103;1452;941
"ABI1";4749;6258;11815;11803;4992;6735;2713;7154;2721;4018;6284;6807;5366;6789;9005;7546;6506;6048;3491;5062
"ABI2";3177;5309;6612;6316;6222;8641;6603;7112;3192;1649;6687;8541;6807;8262;4713;6176;6792;4079;1913;6442
"ABI3";975;389;931;1222;570;457;855;765;684;487;346;621;469;727;374;1437;767;1553;711;1078
"ABI3BP";272;870;1295;685;6273;1335;232;498;50;419;1082;4330;448;7587;2682;7917;4054;5589;3657;13015
"ABL1";6626;4521;4069;6667;6396;8586;4816;7290;3451;1784;4633;7467;5505;8978;6355;13440;7948;7561;3989;10655
"ABL2";2334;4307;5205;4693;2549;3865;2576;6160;1978;1449;2591;5048;2650;3714;3946;3859;4067;3937;3779;5428
"ABLIM1";7585;8437;17049;5395;15625;4562;1511;5486;5010;5679;2090;5228;2071;13932;13583;19767;5357;6885;7401;16826
"ABLIM2";539;335;213;272;213;226;166;176;102;206;354;76;389;196;948;495;250;585;360;384
"ABLIM3";862;735;306;347;3355;2403;592;3292;136;283;1285;6947;971;3919;1044;7768;2073;4692;3319;6576
"ABO";76;48;16;111;155;24;7;34;4;203;30;57;32;127;18;145;65;144;145;211
"ABR";6416;7368;3283;6865;5563;5405;3708;6827;2961;2154;4992;6884;4860;8482;9179;11409;7569;8798;4658;8334
"ABRA";0;1;2;0;1;0;0;1;0;0;0;0;0;0;0;5;1;0;5;2
"ABRACL";2468;7800;8686;7403;762;1114;2491;3283;6982;1305;2429;1638;3488;1772;5889;1640;1290;2608;1233;1095
"ABT1";1861;3132;3920;2910;1711;2793;2811;1564;1534;1074;2913;1759;3788;1761;1537;2682;2298;2027;1185;1802
"ABTB1";2955;1679;1598;838;3034;3078;1332;1617;890;896;1279;2038;1854;3135;4633;4721;4521;3020;2101;3905
"ABTB2";1224;2302;1552;610;282;233;139;646;608;283;1262;232;1003;460;2387;710;235;413;408;290
"ACAA1";4123;6911;3709;5586;5209;4189;6062;4199;3557;2494;4364;4303;4064;4601;2756;6143;4909;5416;3696;4249
"ACAA2";3537;6552;3044;8849;4206;3028;2301;3614;5658;1181;3506;2564;3663;3720;3736;7163;3797;6187;4709;4715
"ACACA";3813;7702;15693;9189;8257;9056;6864;16984;3628;1831;10147;7089;9669;5761;5093;6150;3989;5829;1994;4464
"ACACB";892;3183;1063;482;18923;6951;1309;2445;715;1186;10028;2840;9220;4982;1516;35271;8165;16388;9645;8930
"ACAD10";1896;1820;1596;1268;2072;2806;3202;1818;736;1796;1078;2649;1509;2803;2787;2394;2555;2029;1582;2070
"ACAD11";57;89;116;90;210;186;58;258;31;117;243;237;317;254;148;179;158;153;136;245
"ACAD8";1587;2604;2466;2000;2002;2618;1884;1513;1099;886;1263;1603;1743;2379;1333;2753;2397;1946;1276;1690
"ACAD9";4583;3122;6700;4587;3258;4912;6710;3710;1854;1949;5095;3624;6252;3414;3850;4123;3472;3874;2170;2908
"ACADL";11;93;5;14;280;21;23;37;0;17;3;30;7;62;13;720;121;481;211;300
"ACADM";2887;6392;4061;6388;6511;4636;3320;4732;1629;2073;5147;3883;4047;3666;4765;5725;4053;3291;1712;3663
"ACADS";1350;857;722;1008;2932;901;960;922;1186;1057;773;1034;1012;1645;1116;4172;1654;3673;2053;1981
"ACADSB";851;2773;2796;975;10177;5904;3485;7385;822;1107;12056;2532;5869;7240;2022;6086;6844;3442;878;3777
"ACADVL";20326;21127;13018;16622;22731;11614;15892;14572;14114;14674;17190;12141;19947;20501;18025;40532;18067;27072;28724;22138
"ACAN";894;257;53;230;74;224;1709;348;326;72;252;50;213;275;343;87;243;1044;561;589
"ACAP1";1582;1067;2260;2411;885;205;1299;1124;1516;771;406;1238;293;1672;739;3866;1242;2358;1912;1760
"ACAP2";2156;5868;9975;4971;3270;4915;2586;7344;1512;1728;6345;6318;5289;5319;3750;5117;4761;4407;1751;4670
"ACAP3";10577;5843;3050;8366;3382;10090;6786;4825;2597;2585;3754;5656;4915;4022;6649;5448;6688;7275;3959;4731
"ACAT1";5551;2745;7079;4618;4125;3238;4919;5395;2055;745;3093;2064;3366;3324;3921;6894;3778;5418;2557;4261
"ACAT2";3248;2766;6927;3557;1012;1644;2485;1457;3695;1014;3161;1263;4838;1495;3412;1650;998;1179;803;1297
"ACBD3";4795;12347;14449;10388;3232;6402;4089;8845;3202;3622;9398;9255;9224;5063;8628;4884;5192;5219;2409;4592
"ACBD4";378;625;503;343;1185;2523;618;1444;430;749;910;1392;1179;1695;380;1931;2604;1459;811;1687
"ACBD5";2374;2067;6614;3475;2708;5452;1265;4015;1151;1920;6396;4206;4603;2819;4905;2945;3212;2284;1679;2460
"ACBD6";1910;2481;3205;3294;2332;2928;2555;3172;2113;1143;1894;2605;2081;2249;2127;2200;2258;2279;1272;2104
"ACBD7";231;759;981;207;59;489;276;114;746;241;225;198;622;325;382;165;137;42;127;49
"ACCS";364;1151;1374;1225;1286;1440;1708;2119;248;632;636;1559;814;2245;387;1868;2193;2882;962;2303
"ACCSL";0;0;1;0;0;0;1;0;0;1;0;1;0;1;0;2;3;1;3;1
"ACD";2095;1612;1990;1958;994;1684;1499;923;392;465;1155;1085;1826;1377;1576;1609;1552;1215;692;1332
"ACE";4369;2129;1158;2698;1598;1245;2058;2885;1074;499;4821;3614;3995;3394;1349;3030;2753;3920;1341;5838
"ACE2";64;2020;361;179;52;9;12;8;393;108;8;3;3;58;20;42;14;140;55;34
"ACER1";1;9;1;1;5;1;3;5;0;3;31;2;33;2;3;18;2;12;5;14
"ACER2";33;106;1261;87;657;1825;231;618;47;71;636;1575;488;713;115;508;582;233;234;756
"ACER3";1405;4707;2231;1299;1395;2521;1002;1487;361;442;3042;2074;2146;1396;1803;2156;1863;2181;820;1589
"ACHE";258;149;235;182;136;28;109;14;40;87;167;133;128;128;110;595;80;113;137;5230
"ACIN1";14602;14351;14523;18673;15219;19347;16797;19080;11983;10283;16370;20084;22746;17678;12250;17682;17534;16579;11357;14531
"ACKR1";203;849;283;177;2948;242;117;224;137;166;206;875;150;7667;773;14624;2876;12787;3962;15420
"ACKR2";22;146;28;31;153;47;29;171;9;62;33;111;19;183;21;266;148;184;204;207
"ACKR3";1000;814;647;377;1232;5092;1260;1974;420;255;1076;1365;661;1985;3097;5232;4796;2445;2036;6568
"ACKR4";247;99;137;44;292;363;166;342;82;39;43;248;42;202;299;336;614;440;130;2024
"ACLY";11315;15256;24909;15480;10412;13828;19792;23949;8749;3511;17947;12621;20357;9114;11200;10149;6936;12274;5250;9135
"ACMSD";0;3;0;5;0;0;6;65;0;1;0;0;0;8;0;8;1;32;0;3
"ACN9";922;1520;2342;501;760;375;1073;352;472;584;98;339;112;471;905;637;566;538;391;488
"ACO1";2261;3287;6943;2544;3435;2181;1286;4363;976;1009;1746;2207;1714;2961;3457;9346;3075;8509;5158;4355
"ACO2";7355;6137;6655;10814;6909;4340;6991;12104;4450;4705;12787;5055;14498;5461;5519;9123;3928;9123;5339;5777
"ACOT1";251;243;534;366;110;402;159;472;137;125;182;278;427;326;205;294;253;546;401;363
"ACOT11";172;298;857;136;71;307;75;116;53;187;285;355;297;314;132;164;309;183;284;158
"ACOT12";5;4;0;0;6;2;3;2;4;1;12;3;4;3;11;8;3;7;4;5
"ACOT13";1532;1811;4232;1146;1740;2560;2960;2114;1474;959;1972;1134;2667;1556;1209;1581;2060;2144;1005;1561
"ACOT2";662;751;791;515;1891;2414;410;1534;300;278;590;940;1363;827;380;2920;1518;2099;1000;1161
"ACOT4";171;304;351;310;724;1935;396;1281;67;150;477;705;615;364;57;396;610;781;208;309
"ACOT6";0;0;0;0;7;30;5;11;0;2;7;10;7;2;0;1;16;6;1;5
"ACOT7";3083;7635;2217;2950;602;2092;2677;1145;3178;378;3649;1818;4719;947;2692;1238;1087;1200;631;813
"ACOT8";894;1339;982;909;855;1515;2467;931;557;604;852;806;1062;798;567;1003;1226;1019;672;761
"ACOT9";4832;7917;4448;3207;1512;1899;3409;1573;2522;1544;1633;2516;1887;2285;3923;3186;2215;2849;2153;2419
"ACOX1";3726;13198;5742;5659;4755;4762;5629;5401;3256;3440;6012;9419;7876;5603;6094;7619;4217;5868;4326;5419
"ACOX2";109;291;93;62;1469;272;14973;8073;44;151;243;676;235;994;179;1478;877;1788;496;1316
"ACOX3";717;2243;3180;8466;1571;1870;1333;1823;668;769;2319;1582;2675;1562;801;1507;1101;1624;1059;1381
"ACOXL";75;57;162;115;27;28;22;8;70;18;3;11;0;16;63;16;85;13;27;6
"ACP1";10621;9365;9368;6763;5774;7663;6091;6984;4132;3852;7702;4831;10272;5391;9572;5440;5736;5089;3078;3862
"ACP2";3576;2121;5804;5086;1871;2971;6862;5292;2492;1780;2469;3221;2565;3075;1691;3187;3282;4948;2924;2381
"ACP5";4384;1362;3458;2818;2302;3470;9326;6111;4660;1113;2903;1846;2834;3495;1065;13645;11051;23756;3046;4086
"ACP6";1143;1153;988;460;996;1572;1170;1219;597;603;511;1128;457;1592;1101;1040;1141;953;492;904
"ACPP";43;37;94;54;62;94;51;97;27;119;151;202;206;143;55;111;83;65;132;73
"ACPT";0;0;1;0;0;0;1;0;0;5;2;0;30;3;0;1;1;0;2;1
"ACR";32;13;3;12;41;16;7;25;28;23;6;9;11;37;54;77;29;37;37;98
"ACRBP";226;160;144;227;131;250;110;260;77;259;154;97;247;177;120;218;314;321;358;226
"ACRC";273;330;141;370;396;159;347;396;141;155;173;437;180;352;151;437;295;372;201;285
"ACRV1";3;24;2;8;1;12;21;1;32;0;3;0;2;2;4;6;2;5;1;13
"ACSBG1";1;64;62;6;0;3;21;0;26;85;4;13;8;21;4;13;1;0;65;15
"ACSBG2";0;3;0;2;37;18;6;8;1;0;2;23;5;34;16;64;32;7;2;23
"ACSF2";2899;1405;826;478;4304;3985;1376;5645;1788;1048;1276;2813;1229;2878;2877;3641;3572;3702;1695;2255
"ACSF3";1330;2236;1436;518;1104;1902;1387;1289;1248;839;1623;1092;2872;1357;2031;1886;1649;1669;1037;1235
"ACSL1";10160;6585;13519;6251;18217;5198;3514;8620;1413;4511;2199;6662;1802;6338;8036;39641;8985;41205;16343;11447
"ACSL3";5257;7263;14291;7154;8662;9180;25668;18349;1862;3511;19562;9258;11018;8897;9424;7198;5106;5553;2320;6024
"ACSL4";2813;2992;7003;3639;2389;1913;1101;2912;1205;1099;2193;2523;1595;3760;5511;7537;4180;4575;2438;4014
"ACSL5";4160;2580;7465;6647;2283;497;926;1747;976;2402;661;1430;572;2937;2451;4661;1577;3509;3353;3533
"ACSL6";1940;103;337;2036;98;41;217;109;17;173;289;112;100;156;2368;521;168;180;173;230
"ACSM1";19;35;37;90;101;207;14;206;25;148;88;125;118;143;15;152;100;173;54;70
"ACSM2A";2;5;0;4;8;0;1;1;0;0;1;0;0;3;0;11;6;9;0;8
"ACSM2B";0;1;0;20;2;0;1;1;1;1;0;0;1;5;0;14;3;3;0;12
"ACSM3";91;267;110;678;444;365;22;73;290;286;35;183;49;351;49;320;334;82;119;251
"ACSM4";0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0
"ACSM5";63;139;24;25;563;73;43;149;24;71;82;102;148;243;25;1316;286;917;682;403
"ACSM6";1;1;0;0;2;0;0;0;0;3;0;0;0;9;0;6;1;12;9;11
"ACSS1";2589;2934;6930;4140;5419;5991;1819;3772;1142;1413;3782;3554;3698;3974;1841;5078;7803;4961;2233;3320
"ACSS2";2783;4074;2023;2631;3789;2898;1655;2540;1593;1747;1592;2898;2340;3538;2083;10378;3989;5815;2574;4378
"ACSS3";222;489;81;112;890;1381;310;1233;28;127;2056;4372;1610;1544;194;1908;1146;1341;524;1894
"ACTA1";47;82;19;20;13;30;98;16;993;18;17;24;38;25;36;50;115;12;19;9
"ACTA2";35849;14956;3020;4372;31442;40645;31495;25890;19300;4988;9050;28111;15032;63796;13872;88160;45169;42169;19768;46891
"ACTA2-AS1";1;6;2;7;8;2;3;3;9;5;2;5;3;3;1;6;4;4;1;5
"ACTB";334772;226517;308347;388532;125621;219752;221211;298852;197838;77624;152116;166821;208067;185644;219563;320513;280170;387061;156433;200068
"ACTBL2";8;11;1;0;7;8;2;11;3;33;2;7;0;7;8;25;8;0;13;1
"ACTC1";59;18;0;4;4;11;76;5;11;27;28;4;2;39;6;7;12;18;141;45
"ACTG1";608875;462634;161640;190951;136834;266761;175004;181639;151179;36227;343077;222639;528159;175520;544591;208646;225846;203482;72315;158297
"ACTG1P4";36;15;20;23;125;57;9;46;28;20;7;225;28;167;66;102;82;91;43;91
"ACTG2";2470;1089;48;101;3000;322;268;607;15093;385;319;159;449;4020;571;15431;3377;696;1219;8930
"ACTL10";111;208;203;170;149;197;184;159;51;132;137;271;200;122;27;176;101;116;126;101
"ACTL6A";5020;8533;8818;5674;3123;6070;10099;7995;3788;2172;7656;4266;11032;3280;4266;3551;3167;3694;1891;2574
"ACTL6B";0;1;0;0;0;0;525;0;0;3;2;0;1;0;0;0;2;0;3;0
"ACTL7A";0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0
"ACTL7B";1;0;0;0;0;0;2;2;0;2;2;3;0;0;0;0;0;0;1;2
"ACTL8";122;49;572;2616;87;0;0;4;13;2;41;4;14;4;50;0;0;5;3;0
"ACTL9";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ACTN1";26020;19898;14061;14883;14897;26159;10827;32988;11823;10153;8952;19951;9898;27642;22984;34987;18374;23324;12888;16399
"ACTN1-AS1";12;15;2;3;16;47;19;23;8;5;7;50;13;30;12;20;64;42;13;16
"ACTN2";1254;343;222;272;152;3;837;18;2;7;112;114;40;48;94;64;29;94;21;39
"ACTN3";25;16;3;5;3;0;13;6;8;7;0;8;4;14;13;7;14;8;23;20
"ACTN4";30268;38805;18431;49250;21131;30438;23468;36042;53751;16064;33358;29027;42785;33724;28752;40701;24894;31082;18787;29295
"ACTR10";4315;3209;3174;3515;4446;5808;5335;7877;2512;3173;3558;4954;3867;4565;4254;5870;4844;6183;2977;4868
"ACTR1A";10734;9785;5479;6878;6071;9022;6520;6182;4620;5586;7986;6080;8766;7027;10558;10014;7213;9453;7062;7335
"ACTR1B";7108;4396;4218;4899;3796;5785;6091;4375;3192;2802;5576;3886;6960;4922;5362;6235;5059;5502;3246;4342
"ACTR2";13058;31529;38398;46759;12414;23997;15393;35223;8372;8702;36125;22584;34595;19491;18008;21186;18799;22925;10435;14911
"ACTR3";25754;20135;32342;26600;7926;11212;15704;17335;13338;6391;16729;12775;15808;10572;24741;13902;10122;14237;7638;8767
"ACTR3B";3246;7934;3280;4243;718;736;572;378;1802;2009;494;688;514;791;4365;825;693;561;979;540
"ACTR3BP2";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
